samsung,ksp,bond,memory,smartphone
16180,1696.140015,5.42,366.08,250.4
16440,1690.619995,5.36,366.42,250.4
16820,1705.319946,5.38,366.34,250.4
16260,1683.449951,5.3,362.3,250.4
16420,1695.26001,5.33,367.68,250.4
15940,1694.119995,5.36,366.62,250.4
16180,1698.640015,5.38,353.45,250.4
15940,1671.410034,5.33,359.09,250.4
16540,1685.77002,5.35,356.96,250.4
16840,1701.800049,5.35,344.67,250.4
16860,1711.780029,5.41,344.67,250.4
16460,1710.219971,5.37,350.84,250.4
16680,1714.380005,5.35,349.8,250.4
17000,1722.01001,5.32,347.91,250.4
16500,1684.349976,5.32,329.49,250.4
16840,1670.199951,5.34,334.18,250.4
16300,1637.339966,5.32,333.52,250.4
16000,1625.47998,5.34,337.45,250.4
16160,1642.430054,5.37,327.25,250.4
15680,1602.430054,5.34,316.07,250.4
15540,1606.439941,5.35,325.72,250.4
15440,1595.810059,5.34,328.7,250.4
15540,1615.02002,5.35,327.75,250.4
15520,1616.420044,5.36,312.53,250.4
15000,1567.119995,5.31,320.01,250.4
14960,1552.790039,5.35,318.86,250.4
15220,1570.48999,5.37,323.41,250.4
15100,1570.119995,5.36,323.4,250.4
15260,1597.810059,5.3,331.04,250.4
15000,1593.660034,5.29,332.84,250.4
15120,1601.050049,5.3,340.96,250.4
15580,1627.430054,5.3,341.54,250.4
15500,1621.189941,5.29,342.52,250.4
15200,1593.900024,5.31,343.54,250.4
15460,1627.099976,5.3,342.55,250.4
15340,1628.900024,5.29,332.87,250.4
15040,1612.829956,5.2,339.27,250.4
14720,1587.51001,5.13,338.39,250.4
14880,1594.579956,5.13,338.86,250.4
15400,1615.119995,5.13,349.39,250.4
15420,1622.439941,5.11,346.37,250.4
15220,1618.199951,5.04,346.55,250.4
15500,1634.569946,5.01,351.53,250.4
15720,1660.040039,5.03,351.21,250.4
15720,1660.829956,5.03,350.47,250.4
15680,1662.23999,5.02,358.04,250.4
15560,1656.619995,4.9,357.16,250.4
15560,1662.73999,4.84,355.37,250.4
15360,1649.5,4.86,350.43,250.4
15300,1648.01001,4.83,359.87,250.4
15960,1682.859985,4.78,364.06,250.4
15940,1675.170044,4.73,361.64,250.4
16080,1686.109985,4.72,355.67,250.4
16020,1672.670044,4.69,364.25,250.4
16180,1681.819946,4.76,372.47,250.4
16380,1681.01001,4.93,365.37,250.4
16380,1688.390015,4.89,364.83,250.4
16400,1697.719971,4.9,362.89,250.4
16360,1691.98999,4.94,366.37,250.4
