시가,고가,저가,종가
130,130,129,129
129,129,128,128
129,130,128,129
129,129,127,127
126,126,122,123
124,125,124,124
124,125,124,125
127,127,126,127
127,127,125,126
126,127,126,127
127,127,124,125
125,125,124,124
124,124,124,124
124,124,124,124
124,124,124,124
124,124,124,124
124,125,119,122
122,124,122,122
123,123,122,122
122,123,122,122
122,123,122,123
123,123,122,122
123,123,123,123
123,124,123,123
123,123,123,123
125,125,123,124
124,125,123,123
124,124,123,124
124,125,124,124
124,124,123,123
123,124,123,124
122,123,122,123
123,123,123,123
122,124,122,124
124,124,123,124
123,124,123,124
124,125,122,124
124,124,124,124
123,123,123,123
123,123,122,123
123,124,123,124
124,124,124,124
124,124,123,124
123,124,123,124
124,127,124,127
127,130,123,128
128,129,128,129
129,130,129,129
129,130,129,129
129,130,122,125
125,125,124,124
123,124,122,122
122,122,121,122
123,123,123,123
123,123,122,122
122,123,122,123
124,125,124,125
125,125,125,125
126,130,126,129
130,130,128,129
128,130,126,130
130,132,130,131
130,133,130,132
132,132,131,132
132,132,130,130
130,131,129,131
131,131,130,130
129,129,128,129
128,129,127,129
129,129,127,128
129,131,129,131
134,134,129,130
129,129,129,129
129,131,129,131
131,132,130,130
130,130,129,130
130,130,129,129
129,129,129,129
129,129,128,129
128,133,128,133
134,136,132,133
132,132,130,130
129,130,128,128
128,130,128,129
129,130,129,130
129,130,129,129
129,130,129,129
129,130,129,129
129,129,129,129
129,129,129,129
129,129,127,129
129,129,129,129
129,129,129,129
129,129,129,129
129,129,125,125
125,126,122,125
123,125,123,125
125,125,125,125
125,125,122,122
122,123,119,122
122,122,121,122
122,122,121,121
121,122,121,122
121,122,121,122
121,122,121,122
122,124,122,122
122,122,122,122
122,122,122,122
122,122,122,122
122,123,122,122
122,122,122,122
122,123,122,123
122,122,122,122
122,122,122,122
122,123,122,123
122,123,122,123
122,122,122,122
122,122,122,122
122,122,121,121
120,120,120,120
120,120,120,120
120,120,120,120
120,121,120,120
120,120,120,120
120,120,119,119
119,119,115,118
118,118,118,118
119,119,117,117
117,118,117,117
119,122,119,122
124,127,124,124
124,125,121,124
124,127,124,127
126,126,125,125
126,128,125,125
125,125,124,124
123,123,122,122
123,123,119,120
120,122,119,122
123,123,120,120
121,121,121,121
122,122,121,122
122,122,121,121
118,120,115,118
119,121,116,116
117,119,116,118
116,118,116,118
117,118,116,116
116,116,115,116
116,116,115,116
116,116,116,116
116,116,116,116
116,116,116,116
116,117,116,117
117,119,117,118
118,119,118,119
119,119,119,119
119,119,119,119
119,119,117,117
116,117,116,116
116,116,116,116
116,116,116,116
116,118,116,118
118,118,116,116
117,118,116,116
117,117,117,117
117,121,117,119
119,121,119,120
121,122,121,122
122,128,122,128
127,129,125,125
124,127,124,125
123,125,123,125
125,127,125,125
127,129,127,127
128,128,125,126
125,126,125,125
125,127,125,126
126,127,125,125
123,123,122,123
120,120,120,120
121,121,121,121
122,122,121,121
122,122,121,122
124,125,123,124
124,124,124,124
124,125,124,124
125,126,123,124
124,125,124,125
124,124,123,123
123,124,123,123
123,123,123,123
123,124,123,124
124,128,124,125
125,125,125,125
125,125,124,124
124,125,124,125
125,125,125,125
125,125,124,124
124,125,124,124
125,127,125,125
124,125,124,125
126,127,126,126
126,127,125,127
127,127,125,125
125,127,125,127
128,129,128,128
128,128,127,127
127,127,125,126
125,127,125,127
125,127,125,126
125,125,125,125
126,127,126,126
126,127,126,127
127,127,126,127
127,127,127,127
126,127,126,127
127,127,127,127
126,126,126,126
126,127,126,126
126,127,126,127
128,129,127,129
128,129,128,128
128,129,128,129
129,131,129,131
131,131,130,131
131,131,129,129
129,129,128,128
128,128,127,128
128,129,128,128
128,128,128,128
128,129,128,129
130,132,130,131
133,139,133,139
142,144,142,144
147,148,146,148
150,151,149,151
152,153,151,152
152,152,149,150
150,152,149,151
151,158,151,158
162,163,161,161
163,163,159,160
160,160,159,159
159,161,158,160
162,168,162,165
167,167,163,164
164,165,160,162
162,164,162,163
163,163,161,163
163,163,161,161
162,166,162,166
168,169,167,168
168,168,164,166
167,167,165,167
168,170,166,167
168,178,167,178
184,188,184,188
190,191,187,187
187,193,184,193
197,203,197,200
203,207,197,197
194,199,193,194
191,192,188,189
189,193,184,185
188,194,187,194
194,194,186,188
190,192,187,187
188,188,185,188
191,194,190,194
195,196,191,195
196,196,192,196
197,198,196,198
197,197,194,197
196,196,191,191
192,193,188,189
189,195,188,195
195,196,189,190
186,187,183,184
183,183,177,181
178,179,176,177
179,187,179,185
182,193,180,185
189,196,189,192
190,191,184,184
180,193,179,190
191,191,179,180
173,177,172,174
172,181,172,177
179,182,175,175
175,178,175,176
